,Date,Lockdown_index
425,2021-03-23,-0.06279578606158834
426,2021-03-24,-0.06279578606158834
427,2021-03-25,-0.06279578606158834
428,2021-03-26,-0.06279578606158834
429,2021-03-27,-0.06279578606158834
430,2021-03-28,-0.06279578606158834
431,2021-03-29,-0.06279578606158834
432,2021-03-30,-0.06279578606158834
433,2021-03-31,-0.06279578606158834
434,2021-04-01,-0.06279578606158834
435,2021-04-02,-0.06279578606158834
436,2021-04-03,-0.06279578606158834
437,2021-04-04,-0.06279578606158834
438,2021-04-05,-0.06279578606158834
439,2021-04-06,-0.06279578606158834
440,2021-04-07,-0.06279578606158834
441,2021-04-08,-0.06279578606158834
442,2021-04-09,-0.06279578606158834
443,2021-04-10,-0.06279578606158834
444,2021-04-11,-0.06279578606158834
445,2021-04-12,-0.06279578606158834
446,2021-04-13,-0.06279578606158834
447,2021-04-14,-0.06279578606158834
448,2021-04-15,-0.06279578606158834
449,2021-04-16,-0.06279578606158834
450,2021-04-17,-0.06279578606158834
451,2021-04-18,-0.06279578606158834
452,2021-04-19,-0.06279578606158834
453,2021-04-20,-0.06279578606158834
454,2021-04-21,-0.06279578606158834
455,2021-04-22,-0.06279578606158834
456,2021-04-23,-0.06279578606158834
457,2021-04-24,-0.06279578606158834
458,2021-04-25,-0.06279578606158834
459,2021-04-26,-0.06279578606158834
460,2021-04-27,-0.06279578606158834
461,2021-04-28,-0.06279578606158834
462,2021-04-29,-0.06279578606158834
463,2021-04-30,-0.06279578606158834
464,2021-05-01,-0.06279578606158834
465,2021-05-02,-0.06279578606158834
466,2021-05-03,-0.06279578606158834
467,2021-05-04,-0.06279578606158834
468,2021-05-05,-0.06279578606158834
469,2021-05-06,-0.06279578606158834
470,2021-05-07,-0.06279578606158834
471,2021-05-08,-0.0027957860615883236
472,2021-05-09,-0.0027957860615883236
473,2021-05-10,-0.0027957860615883236
474,2021-05-11,-0.0027957860615883236
475,2021-05-12,-0.0027957860615883236
476,2021-05-13,-0.0027957860615883236
477,2021-05-14,-0.0027957860615883236
478,2021-05-15,-0.0027957860615883236
479,2021-05-16,0.24513614262560773
480,2021-05-17,0.24513614262560773
481,2021-05-18,0.24513614262560773
482,2021-05-19,0.24513614262560773
483,2021-05-20,0.24513614262560773
484,2021-05-21,0.24513614262560773
485,2021-05-22,0.24513614262560773
486,2021-05-23,0.24513614262560773
487,2021-05-24,0.24513614262560773
488,2021-05-25,0.24513614262560773
489,2021-05-26,0.24513614262560773
490,2021-05-27,0.24513614262560773
491,2021-05-28,0.22813614262560775
492,2021-05-29,0.22813614262560775
493,2021-05-30,0.22813614262560775
494,2021-05-31,0.22813614262560775
495,2021-06-01,0.22813614262560775
496,2021-06-02,0.22813614262560775
497,2021-06-03,0.22813614262560775
498,2021-06-04,0.22813614262560775
499,2021-06-05,0.22813614262560775
500,2021-06-06,0.22813614262560775
501,2021-06-07,0.22813614262560775
502,2021-06-08,0.22813614262560775
503,2021-06-09,0.22813614262560775
504,2021-06-10,0.22813614262560775
505,2021-06-11,0.22813614262560775
506,2021-06-12,0.22813614262560775
507,2021-06-13,0.22813614262560775
508,2021-06-14,0.12868719611021068
509,2021-06-15,0.12868719611021068
510,2021-06-16,0.12868719611021068
511,2021-06-17,0.12868719611021068
512,2021-06-18,0.12868719611021068
513,2021-06-19,0.12868719611021068
514,2021-06-20,0.12868719611021068
515,2021-06-21,0.12868719611021068
516,2021-06-22,0.04568719611021068
517,2021-06-23,0.04568719611021068
518,2021-06-24,0.04568719611021068
519,2021-06-25,0.04568719611021068
520,2021-06-26,0.04568719611021068
521,2021-06-27,0.04568719611021068
522,2021-06-28,0.04568719611021068
523,2021-06-29,0.04568719611021068
524,2021-06-30,0.04568719611021068
525,2021-07-01,0.04568719611021068
526,2021-07-02,0.04568719611021068
527,2021-07-03,0.04568719611021068
528,2021-07-04,0.04568719611021068
529,2021-07-05,0.04568719611021068
530,2021-07-06,0.04568719611021068
531,2021-07-07,0.04568719611021068
532,2021-07-08,0.04568719611021068
533,2021-07-09,0.04568719611021068
534,2021-07-10,0.04568719611021068
535,2021-07-11,0.04568719611021068
536,2021-07-12,0.04568719611021068
537,2021-07-13,0.04568719611021068
538,2021-07-14,0.04568719611021068
539,2021-07-15,0.04568719611021068
540,2021-07-16,0.04568719611021068
541,2021-07-17,0.04568719611021068
542,2021-07-18,0.04568719611021068
543,2021-07-19,0.04568719611021068
544,2021-07-20,0.04568719611021068
545,2021-07-21,0.04568719611021068
546,2021-07-22,0.22568719611021065
547,2021-07-23,0.22568719611021065
548,2021-07-24,0.22568719611021065
549,2021-07-25,0.22568719611021065
550,2021-07-26,0.22568719611021065
551,2021-07-27,0.22568719611021065
552,2021-07-28,0.22568719611021065
553,2021-07-29,0.22568719611021065
554,2021-07-30,0.22568719611021065
555,2021-07-31,0.22568719611021065
556,2021-08-01,0.22568719611021065
557,2021-08-02,0.22568719611021065
558,2021-08-03,0.22568719611021065
559,2021-08-04,0.22568719611021065
560,2021-08-05,0.22568719611021065
561,2021-08-06,0.22568719611021065
562,2021-08-07,0.22568719611021065
