,Date,Compulsory_Mask,Eat_In_Ban,Entry_Recording,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation_0.0,Recreation_0.25,Recreation_0.5,Recreation_0.65,Recreation_1.0,Workplace_Closure_0.0,Workplace_Closure_0.33,Workplace_Closure_0.5,Workplace_Closure_0.75,Workplace_Closure_1.0,Worship_0.0,Worship_0.25,Worship_0.5,Worship_0.65,Worship_1.0
148,2020-06-19,1,0,1,0,1,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
149,2020-06-20,1,0,1,0,1,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
150,2020-06-21,1,0,1,0,1,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
151,2020-06-22,1,0,1,0,1,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
152,2020-06-23,1,0,1,0,1,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
153,2020-06-24,1,0,1,0,1,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
154,2020-06-25,1,0,1,0,1,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
155,2020-06-26,1,0,1,0,1,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
156,2020-06-27,1,0,1,0,1,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
157,2020-06-28,1,0,1,0,1,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
158,2020-06-29,1,0,1,0,1,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
159,2020-06-30,1,0,1,0,0,0.03125,0.3125,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
160,2020-07-01,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
161,2020-07-02,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
162,2020-07-03,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
163,2020-07-04,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
164,2020-07-05,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
165,2020-07-06,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
166,2020-07-07,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
167,2020-07-08,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
168,2020-07-09,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
169,2020-07-10,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
170,2020-07-11,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
171,2020-07-12,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
172,2020-07-13,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
173,2020-07-14,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
174,2020-07-15,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
175,2020-07-16,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
176,2020-07-17,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
177,2020-07-18,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
178,2020-07-19,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
179,2020-07-20,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
180,2020-07-21,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
181,2020-07-22,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
182,2020-07-23,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
183,2020-07-24,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
184,2020-07-25,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
185,2020-07-26,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
186,2020-07-27,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
187,2020-07-28,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
188,2020-07-29,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
189,2020-07-30,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
190,2020-07-31,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
191,2020-08-01,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
192,2020-08-02,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
193,2020-08-03,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
194,2020-08-04,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
