,Date,Eat_In_Ban,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation,Workplace_Closure,Workplace_Gathering,Worship
252,1/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
253,2/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
254,3/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
255,4/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
256,5/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
257,6/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
258,7/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
259,8/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
260,9/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
261,10/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
262,11/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
263,12/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
264,13/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
265,14/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
266,15/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
267,16/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
268,17/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
269,18/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
270,19/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
271,20/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
272,21/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
273,22/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
274,23/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
275,24/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
276,25/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
277,26/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
278,27/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
279,28/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
280,29/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
281,30/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
282,31/10/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
283,1/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
284,2/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
285,3/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
286,4/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
287,5/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
288,6/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
289,7/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
290,8/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
291,9/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
292,10/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
293,11/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
294,12/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
295,13/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
